"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"TheHive_zmWorkbench_Extension_TB_Script","","","","","","","","","","","","","",""
"STR_Slot_TH_TB_WoodenCase","Slot per Cassa di Legno","Wooden Crate Slot","Slot pro dřevěnou bednu","Holzkisten-Slot","Слот для деревянного ящика","Slot na drewnianą skrzynię","Faláda foglalat","Slot per Cassa di Legno","Ranura para caja de madera","Emplacement pour caisse en bois","木箱槽位","木箱スロット","Slot para caixa de madeira","木箱槽位"
"STR_Slot_TH_TB_Pliers","Slot per Pinze","Pliers Slot","Slot pro kleště","Klemmzangen-Slot","Слот для плоскогубцев","Gniazdo na wkręty","Csillagfoglalat","Slot per Pinze","Ranura para alicates","Emplacement pour pince","钳子槽位","クランプスロット","Slot para alicate","钳子槽位"
"TheHive_CS_TB_Script","","","","","","","","","","","","","",""
"STR_TheHive_CS_TB_Bench_BASE","BASE: Banco Tecnico","BASE: Technical Workbench","ZÁKLAD: Technický pracovní stůl","BASIS: Technische Werkbank","БАЗА: Технический верстак","BAZA: Stół warsztatowy","ALAP: Műszaki munkapad","BASE: Banco Tecnico","BASE: Banco técnico","BASE : Établi technique","基础：技术工作台","ベース：技術作業台","BASE: Bancada técnica","基础：技术工作台"
"STR_TheHive_CS_TB_Bench_BASE_desc","Classe base della gerarchia del Tecnicbench","Base class in the Technical Workbench hierarchy.","Základní třída hierarchie technického pracovního stolu.","Basisklasse der Hierarchie der technischen Werkbank.","Базовый класс иерархии технического верстака.","Klasa bazowa hierarchii stołu warsztatowego.","A műszaki munkapad hierarchiájának alaposztálya.","Classe base della gerarchia del Tecnicbench","Clase base de la jerarquía del banco técnico.","Classe de base de la hiérarchie de l"établi technique.","技术工作台层级结构的基础类。","技術作業台階層のベースクラス。","Classe base da hierarquia da bancada técnica.","技术工作台层级结构的基础类。"
"STR_AttachmentsProps_Power","Energia","Power","Napájení","Stromversorgung","Питание","Zasilanie","Energiaellátás","Energia","Energía","Alimentation","电源","電源","Energia","电源"
"STR_AttachmentsProps_Power_desc","Alloggiamento per Batterie","Battery compartment","Prostor pro baterie","Batteriefach","Отсек для батарей","Komora na akumulatory","Akkumulátorfoglalat":"Alloggiamento per Batterie":"Compartimento para baterías":"Compartiment à batteries":"电池仓":"バッテリー収納部":"Compartimento para baterias":"电池仓"
"STR_AttachmentsProps_Tools","Attrezzi","Tools","Nářadí","Werkzeuge","Инструменты","Narzędzia","Szerszámok","Attrezzi","Herramientas","Outils","工具","工具","Ferramentas","工具"
"STR_AttachmentsProps_Tools_desc","Cassetto per Attrezzi e materiali per il crafting","Drawer for tools and crafting materials.","Zásuvka na nářadí a výrobní materiály.","Schublade für Werkzeuge und Herstellungsmaterialien.","Ящик для инструментов и материалов для крафта.","Szuflada na narzędzia i materiały do wytwarzania.","Fiók szerszámok és alapanyagok számára.","Cassetto per Attrezzi e materiali per il crafting","Cajón para herramientas y materiales de fabricación.","Tiroir pour outils et matériaux de fabrication.","工具及制作材料抽屉。","工具とクラフト素材用の引き出し。","Gaveta para ferramentas e materiais de fabricação.","工具及制作材料抽屉。"
"STR_AttachmentsProps_Spraycans","Bombolette Spray","Spray Cans","Sprejové barvy","Sprühdosen","Аэрозольные баллончики","Farby w sprayu","Festékszórók","Bombolette Spray","Botes de pintura en aerosol","Bombes de peinture","喷漆罐","スプレー缶","Latas de tinta spray","喷漆罐"
"STR_AttachmentsProps_Spraycans_desc","Alloggiamento per Bombolette Spray","Spray can compartment","Prostor pro spreje","Fach für Sprühdosen","Отсек для аэрозольных баллончиков","Komora na farby w sprayu","Festékszóró foglalat","Alloggiamento per Bombolette Spray","Compartimento para aerosoles","Compartiment pour bombes de peinture","喷漆罐仓位","スプレー缶収納部","Compartimento para latas de spray","喷漆罐仓位"
"STR_AttachmentsProps_Modules","Moduli","Modules","Moduly","Module","Модули","Moduły","Modulok","Moduli","Módulos","Modules","模块","モジュール","Módulos","模块"
"STR_AttachmentsProps_Modules_desc","Alloggiamenti per i Moduli del Banco","Workbench module slots.","Sloty pro moduly pracovního stolu.","Steckplätze für Werkbankmodule.","Слоты для модулей верстака.","Gniazda modułów stołu warsztatowego.","Foglalatok a munkapad moduljaihoz.","Alloggiamenti per i Moduli del Banco","Ranuras para módulos del banco.","Emplacements pour modules de l"établi.","工作台模块插槽。","作業台モジュール用スロット。","Slots para módulos da bancada.","工作台模块插槽。"
"STR_AttachmentsProps_Materials","Materiali","Materials","Materiály","Materialien","Материалы","Materiały","Anyagok","Materiali","Materiales","Matériaux","材料","資材","Materiais","材料"
"STR_AttachmentsProps_Materials_desc","Spazio apposito per materiali da costruzione","Dedicated storage for construction materials.","Vyhrazený prostor pro stavební materiály.","Spezieller Stauraum für Baumaterialien.","Специальное место для строительных материалов.","Specjalne miejsce na materiały budowlane.","Külön tároló építőanyagok számára.","Spazio apposito per materiali da costruzione","Espacio para materiales de construcción.","Espace dédié aux matériaux de construction.","建筑材料专用存储区。","建築資材専用収納。","Espaço para materiais de construção.","建筑材料专用存储区。"
"STR_AttachmentsProps_ToolsStorage","Ingredienti","Ingredients","Suroviny","Zutaten","Ингредиенты","Składniki","Alapanyagok","Ingredienti","Ingredientes","Ingrédients","材料","素材","Ingredientes","材料"
"STR_AttachmentsProps_ToolsStorage_desc","Spazio apposito in cui conservare gli ingredienti per il crafting","Dedicated storage for crafting ingredients.","Vyhrazený prostor pro výrobní suroviny.","Spezieller Stauraum für Herstellungsmaterialien.","Специальное место для материалов для крафта.","Miejsce do przechowywania materiałów do wytwarzania.","Külön tároló a készítéshez szükséges alapanyagok számára.","Spazio apposito in cui conservare gli ingredienti per il crafting","Espacio para guardar ingredientes de fabricación.","Espace dédié aux ingrédients de fabrication.","制作材料专用存储区。","クラフト素材専用収納。","Espaço para armazenar ingredientes de fabricação.","制作材料专用存储区。"
"STR_AttachmentsProps_Output","Progetti Completati","Completed Projects","Dokončené projekty","Abgeschlossene Projekte","Завершённые проекты","Ukończone projekty","Elkészült projektek","Progetti Completati","Proyectos completados","Projets terminés","已完成项目","完成済みプロジェクト","Projetos concluídos","已完成项目"
"STR_AttachmentsProps_Output_desc","Spazio apposito in cui riporre i progetti completati","Dedicated storage for completed projects.","Vyhrazený prostor pro dokončené projekty.","Spezieller Stauraum für abgeschlossene Projekte.","Специальное место для завершённых проектов.","Miejsce na ukończone projekty.","Külön tároló az elkészült projektek számára.","Spazio apposito in cui riporre i progetti completati","Espacio para guardar proyectos terminados.","Espace réservé aux projets terminés.","用于存放已完成项目的专用区域。","完成したプロジェクト専用収納。","Espaço para armazenar projetos concluídos.","用于存放已完成项目的专用区域。"
"STR_AttachmentsProps_WoodenStorage","Cassa di Legno","Wooden Crate","Dřevěná bedna","Holzkiste","Деревянный ящик","Drewniana skrzynia","Faláda","Cassa di Legno","Caja de madera","Caisse en bois","木箱","木箱","Caixa de madeira","木箱"
"STR_AttachmentsProps_WoodenStorage_desc","Alloggiamento per Cassa di Legno","Wooden crate slot.","Slot pro dřevěnou bednu.","Aufnahme für Holzkiste.","Отсек для деревянного ящика.","Miejsce na drewnianą skrzynię.","Foglalat faládához.","Alloggiamento per Cassa di Legno","Compartimento para caja de madera.","Emplacement pour caisse en bois.","木箱存放位。","木箱用収納部。","Compartimento para caixa de madeira.","木箱存放位。"
"STR_TheHive_CS_TB_Bench_Modular","Banco Tecnico Modulare","Modular Technical Workbench","Modulární technický pracovní stůl","Modulare technische Werkbank","Модульный технический верстак","Modułowy stół warsztatowy","Moduláris műszaki munkapad","Banco Tecnico Modulare","Banco técnico modular","Établi technique modulaire","模块化技术工作台","モジュール式技術作業台","Bancada técnica modular","模块化技术工作台"
"STR_TheHive_CS_TB_Bench_Modular_desc","Un banco usato per attrezzi usato per la realizzazione di progetti.","A workbench designed for tools and project construction.","Pracovní stůl určený pro nářadí a výrobu projektů.","Eine Werkbank für Werkzeuge und Fertigungsarbeiten.","Верстак для инструментов и изготовления проектов.","Stół warsztatowy przeznaczony do narzędzi i tworzenia projektów.","Szerszámokhoz és projektek készítéséhez tervezett munkapad.","Un banco usato per attrezzi usato per la realizzazione di progetti.","Banco diseñado para herramientas y fabricación de proyectos.","Établi conçu pour les outils et la réalisation de projets.","用于工具和制造项目的工作台。","工具や製作作業用の作業台。","Bancada projetada para ferramentas e fabricação de projetos.","用于工具和制造项目的工作台。"
"STR_TheHive_CS_TB_Bench_Locked","Banco Tecnico Bloccato","Locked Technical Workbench","Uzamčený technický pracovní stůl","Gesperrte technische Werkbank","Заблокированный технический верстак","Zablokowany stół warsztatowy","Lezárt műszaki munkapad","Banco Tecnico Bloccato","Banco técnico bloqueado","Établi technique verrouillé","锁定技术工作台","固定式技術作業台","Bancada técnica bloqueada","锁定技术工作台"
"STR_TheHive_CS_TB_Bench_Locked_desc","Un banco usato per attrezzi usato per la realizzazione di progetti. NON E" POSSIBILE SMONTARLO.","A workbench designed for tools and project construction. IT CANNOT BE DISMANTLED.","Pracovní stůl pro nářadí a výrobu projektů. NELZE JEJ ROZEBRAT.","Werkbank für Werkzeuge und Fertigungsarbeiten. KANN NICHT ABGEBAUT WERDEN.","Верстак для инструментов и изготовления проектов. НЕ МОЖЕТ БЫТЬ РАЗОБРАН.","Stół warsztatowy do narzędzi i projektów. NIE MOŻNA GO ZDEMONTOWAĆ.","Szerszámokhoz és projektekhez készült munkapad. NEM SZERELHETŐ SZÉT.","Un banco usato per attrezzi usato per la realizzazione di progetti. NON E" POSSIBILE SMONTARLO.","Banco para herramientas y proyectos. NO PUEDE DESMONTARSE.","Établi destiné aux outils et projets. IL NE PEUT PAS ÊTRE DÉMONTÉ.","用于工具和制造项目的工作台。无法拆卸。","工具や製作作業用の作業台。解体不可。","Bancada para ferramentas e projetos. NÃO PODE SER DESMONTADA.","用于工具和制造项目的工作台。无法拆卸。"
"STR_TheHive_CS_TB_Bench_Public","Banco Tecnico Pubblico","Public Technical Workbench","Veřejný technický pracovní stůl","Öffentliche technische Werkbank","Общественный технический верстак","Publiczny stół warsztatowy","Nyilvános műszaki munkapad","Banco Tecnico Pubblico","Banco técnico público","Établi technique public","公共技术工作台","公共技術作業台","Bancada técnica pública","公共技术工作台"
"STR_TheHive_CS_TB_Bench_Public_desc","Un banco usato per attrezzi usato per la realizzazione di progetti. Tutti i moduli sono accessibili ma non removibili. E" allacciato ad una fonte di energia stabile.","A workbench for tools and manufacturing. All modules are available but cannot be removed. Connected to a stable power source.","Pracovní stůl pro nářadí a výrobu. Všechny moduly jsou přístupné, ale nelze je vyjmout. Připojen ke stabilnímu zdroji energie.","Werkbank für Werkzeuge und Fertigung. Alle Module sind zugänglich, aber nicht entfernbar. An eine stabile Stromquelle angeschlossen.","Верстак для инструментов и производства. Все модули доступны, но не снимаются. Подключён к постоянному источнику питания.","Stół warsztatowy do narzędzi i produkcji. Wszystkie moduły są dostępne, ale nie można ich wyjąć. Podłączony do stałego źródła zasilania.","Szerszámokhoz és gyártáshoz készült munkapad. Minden modul elérhető, de nem távolítható el. Stabil áramforráshoz csatlakozik.","Un banco usato per attrezzi usato per la realizzazione di progetti. Tutti i moduli sono accessibili ma non removibili. E" allacciato ad una fonte di energia stabile.","Banco para herramientas y fabricación. Todos los módulos están disponibles, pero no pueden retirarse. Conectado a una fuente de energía estable.","Établi pour outils et fabrication. Tous les modules sont accessibles mais non amovibles. Relié à une source d"énergie stable.","用于工具和制造项目的工作台。所有模块均可使用但不可拆卸，并连接到稳定电源。","工具や製作作業用の作業台。すべてのモジュールが利用可能だが取り外し不可。安定した電源に接続されている。","Bancada para ferramentas e fabricação. Todos os módulos estão disponíveis, mas não podem ser removidos. Ligada a uma fonte de energia estável.","用于工具和制造项目的工作台。所有模块均可使用但不可拆卸，并连接到稳定电源。"
"STR_TheHive_CS_TB_Kits_Scripts","","","","","","","","","","","","","",""
"STR_TheHive_CS_TB_KitBox_BASE","BASE: Kit di Montaggio","BASE: Assembly Kit","ZÁKLAD: Montážní sada","BASIS: Montagesatz","БАЗА: Комплект для сборки","BAZA: Zestaw montażowy","ALAP: Összeszerelő készlet","BASE: Kit di Montaggio","BASE: Kit de montaje","BASE : Kit d"assemblage","基础：组装套件","ベース：組立キット","BASE: Kit de montagem","基础：组装套件"
"STR_TheHive_CS_TB_KitBox_BASE_desc","Classe base della gerarchia del Kit di Montaggio","Base class in the Assembly Kit hierarchy.","Základní třída hierarchie montážní sady.","Basisklasse der Montagesatz-Hierarchie.","Базовый класс иерархии комплекта сборки.","Klasa bazowa zestawu montażowego.","Az összeszerelő készlet alaposztálya.","Classe base della gerarchia del Kit di Montaggio","Clase base de la jerarquía del kit de montaje.","Classe de base de la hiérarchie du kit d"assemblage.","组装套件层级结构的基础类。","組立キット階層のベースクラス。","Classe base da hierarquia do kit de montagem.","组装套件层级结构的基础类。"
"STR_TheHive_CS_TB_Kit_Modular","Kit Banco Tecnico Modulare","Modular Technical Workbench Kit","Sada modulárního technického pracovního stolu","Bausatz modulare technische Werkbank","Комплект модульного технического верстака","Zestaw modułowego stołu warsztatowego","Moduláris műszaki munkapad készlet","Kit Banco Tecnico Modulare","Kit de banco técnico modular","Kit d"établi technique modulaire","模块化技术工作台套件","モジュール式技術作業台キット","Kit de bancada técnica modular","模块化技术工作台套件"
"STR_TheHive_CS_TB_Kit_Modular_desc","Un kit usato per costruire un Banco Tecnico Modulare.","A kit used to build a Modular Technical Workbench.","Sada pro sestavení modulárního technického pracovního stolu.","Bausatz zum Aufbau einer modularen technischen Werkbank.","Комплект для сборки модульного технического верстака.","Zestaw do budowy modułowego stołu warsztatowego.","Készlet moduláris műszaki munkapad építéséhez.","Un kit usato per costruire un Banco Tecnico Modulare.","Kit utilizado para construir un banco técnico modular.","Kit permettant de construire un établi technique modulaire.","用于建造模块化技术工作台的套件。","モジュール式技術作業台を組み立てるためのキット。","Kit usado para construir uma bancada técnica modular.","用于建造模块化技术工作台的套件。"
"STR_TheHive_CS_TB_Kit_Locked","Kit Banco Tecnico Bloccato","Locked Technical Workbench Kit","Sada uzamčeného technického pracovního stolu","Bausatz gesperrte technische Werkbank","Комплект стационарного технического верстака","Zestaw zablokowanego stołu warsztatowego","Lezárt műszaki munkapad készlet","Kit Banco Tecnico Bloccato","Kit de banco técnico bloqueado","Kit d"établi technique verrouillé","固定技术工作台套件","固定式技術作業台キット","Kit de bancada técnica bloqueada","固定技术工作台套件"
"STR_TheHive_CS_TB_Kit_Locked_desc","Un kit usato per costruire un Banco Tecnico Bloccato.","A kit used to build a Locked Technical Workbench.","Sada pro sestavení uzamčeného technického pracovního stolu.","Bausatz zum Aufbau einer gesperrten technischen Werkbank.","Комплект для сборки стационарного технического верстака.","Zestaw do budowy zablokowanego stołu warsztatowego.","Készlet lezárt műszaki munkapad építéséhez.","Un kit usato per costruire un Banco Tecnico Bloccato.","Kit utilizado para construir un banco técnico bloqueado.","Kit permettant de construire un établi technique verrouillé.","用于建造固定技术工作台的套件。","固定式技術作業台を組み立てるためのキット。","Kit usado para construir uma bancada técnica bloqueada.","用于建造固定技术工作台的套件。"
"STR_THEHIVE_CS_TB_MODULAR_DISMOUNT","Smonta Banco Tecnico","Dismantle Technical Workbench","Demontovat technický pracovní stůl","Technische Werkbank abbauen","Разобрать технический верстак","Zdemontuj stół warsztatowy","Műszaki munkapad szétszerelése","Smonta Banco Tecnico","Desmontar banco técnico","Démonter l"établi technique","拆卸技术工作台","技術作業台を解体する","Desmontar bancada técnica","拆卸技术工作台"